currentPrice,deliveryMethodList,deliveryTypeList,dirtyTicketInd,faceValue,isGA,listingAttributeCategoryList,listingAttributeList,listingId,listingPrice,quantity,row,score,seatNumbers,sectionId,sectionName,sellerOwnInd,sellerSectionName,splitOption,splitVector,ticketSplit,zoneId,zoneName,amount
"{'amount': 259.83, 'currency': 'USD'}",[1],[1],False,,0,,,1285842582,"{'amount': 214.44, 'currency': 'USD'}",1,5,0.0,General Admission,369748,100 Level - 104,0,100 Level - 104,0,[1],1,78442,100 Level,259.83
"{'amount': 260.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285868621,"{'amount': 215.0, 'currency': 'USD'}",2,8,0.0,,369753,100 Level - 109,0,109,0,[2],2,78442,100 Level,260.5
"{'amount': 260.85, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 93.42, 'currency': 'USD'}",0,,,1287142015,"{'amount': 213.0, 'currency': 'USD'}",8,13,0.0,,369800,200 Level - 227,0,227,2,"[1, 2, 3, 4, 5, 6, 8]",1,78443,200 Level,260.85
"{'amount': 265.23, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 97.67, 'currency': 'USD'}",0,,,1285849461,"{'amount': 216.65, 'currency': 'USD'}",3,13,0.0,General Admission,369748,100 Level - 104,0,104,0,[3],3,78442,100 Level,265.23
"{'amount': 265.24, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285833135,"{'amount': 216.66, 'currency': 'USD'}",4,17,0.0,,369764,100 Level - 120,0,120,1,"[2, 4]",2,78442,100 Level,265.24
"{'amount': 265.24, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285834690,"{'amount': 216.66, 'currency': 'USD'}",3,16,0.0,,369747,100 Level - 103,0,103,1,"[1, 2, 3]",1,78442,100 Level,265.24
"{'amount': 265.24, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285832516,"{'amount': 216.66, 'currency': 'USD'}",2,8,0.0,,369746,100 Level - 102,0,102,2,[2],1,78442,100 Level,265.24
"{'amount': 265.65, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 91.99, 'currency': 'USD'}",0,,,1287141985,"{'amount': 217.0, 'currency': 'USD'}",4,9,0.0,,369755,100 Level - 111,0,111,2,"[1, 2, 4]",1,78442,100 Level,265.65
"{'amount': 268.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1285861121,"{'amount': 219.0, 'currency': 'USD'}",2,13,0.0,,1944113,Riser General Admission 2,0,2,2,[2],1,264527,Floor,268.05
"{'amount': 271.65, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 91.98, 'currency': 'USD'}",0,,,1287141938,"{'amount': 222.0, 'currency': 'USD'}",4,5,0.0,,369800,200 Level - 227,0,227,2,"[1, 2, 4]",1,78443,200 Level,271.65
"{'amount': 271.91, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286966172,"{'amount': 222.22, 'currency': 'USD'}",2,BS3,0.0,General Admission,568217,Chase Bridges 312,0,Chase Bridges 312,1,"[1, 2]",1,98011,Chase Bridges,271.91
"{'amount': 272.5, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1286312105,"{'amount': 225.0, 'currency': 'USD'}",2,16,0.0,,369755,100 Level - 111,0,111,1,"[1, 2]",1,78442,100 Level,272.5
"{'amount': 272.5, 'currency': 'USD'}",[1],[1],False,,0,,,1288807846,"{'amount': 225.0, 'currency': 'USD'}",1,16,0.0,12,369790,200 Level - 210,0,200 Level - 210,2,[1],1,78443,200 Level,272.5
"{'amount': 273.65, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284855373,"{'amount': 220.0, 'currency': 'USD'}",4,11,0.0,General Admission,369795,200 Level - 222,0,200 Level - 222,2,"[1, 2, 4]",1,78443,200 Level,273.65
"{'amount': 273.65, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284896254,"{'amount': 220.0, 'currency': 'USD'}",2,18,0.0,"13,14",369802,200 Level - 213,0,200 Level - 213,0,[2],2,78443,200 Level,273.65
"{'amount': 275.24, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1288325897,"{'amount': 224.99, 'currency': 'USD'}",2,GA3,0.0,"49,50",369738,Floor General Admission,0,GA4,1,"[1, 2]",1,264527,Floor,275.24
"{'amount': 275.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285862096,"{'amount': 225.0, 'currency': 'USD'}",1,BS3,0.0,33,369765,West Balcony 317,0,West Balcony 317,0,[1],1,78446,West Balcony,275.25
"{'amount': 275.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286947153,"{'amount': 225.0, 'currency': 'USD'}",4,5,0.0,"1,2,3,4",369802,200 Level - 213,0,200 Level - 213,2,"[1, 2, 4]",1,78443,200 Level,275.25
"{'amount': 275.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1288808075,"{'amount': 225.0, 'currency': 'USD'}",1,19,0.0,1,369756,100 Level - 112,0,100 Level - 112,2,[1],1,78442,100 Level,275.25
"{'amount': 275.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1288808928,"{'amount': 225.0, 'currency': 'USD'}",1,2,0.0,10,369765,West Balcony 317,0,West Balcony 317,2,[1],1,78446,West Balcony,275.25
"{'amount': 275.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,1,,,1285853200,"{'amount': 225.0, 'currency': 'USD'}",2,GA,0.0,General Admission,369738,Floor General Admission,0,Floor General Admission,1,"[1, 2]",1,264527,Floor,275.25
"{'amount': 277.3, 'currency': 'USD'}",[1],[1],False,,0,,,1287112434,"{'amount': 229.0, 'currency': 'USD'}",2,3,0.0,,369783,200 Level - 203,0,203,2,[2],1,78443,200 Level,277.3
"{'amount': 277.65, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 91.98, 'currency': 'USD'}",0,,,1287141918,"{'amount': 227.0, 'currency': 'USD'}",4,1,0.0,,369794,200 Level - 221,0,221,2,"[1, 2, 4]",1,78443,200 Level,277.65
"{'amount': 279.7, 'currency': 'USD'}",[1],[1],False,,0,,,1286756936,"{'amount': 231.0, 'currency': 'USD'}",2,2,0.0,"1,2",369744,200 Level - 201,0,201,0,[2],2,78443,200 Level,279.7
"{'amount': 279.75, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,[1],[204],1284874203,"{'amount': 225.0, 'currency': 'USD'}",4,3,0.0,General Admission,369780,400 Level - 420,0,420,1,"[2, 4]",2,78440,400 Level,279.75
"{'amount': 280.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 108.45, 'currency': 'USD'}",1,,,1287101962,"{'amount': 229.0, 'currency': 'USD'}",4,GA6,0.0,,1944114,Riser General Admission 3,0,GA3,1,"[1, 2, 3, 4]",1,264527,Floor,280.05
"{'amount': 280.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 97.5, 'currency': 'USD'}",0,,,1287142022,"{'amount': 229.0, 'currency': 'USD'}",4,13,0.0,,369748,100 Level - 104,0,104,2,"[1, 2, 4]",1,78442,100 Level,280.05
"{'amount': 280.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1284860371,"{'amount': 229.0, 'currency': 'USD'}",1,N/A,0.0,GA 0,369738,Floor General Admission,0,Floor General Admission,1,[1],1,264527,Floor,280.05
"{'amount': 281.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 100.4, 'currency': 'USD'}",1,,,1285841966,"{'amount': 230.0, 'currency': 'USD'}",2,11,0.0,,1944112,Riser General Admission 1,0,1,2,[2],1,264527,Floor,281.25
"{'amount': 284.85, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 94.94, 'currency': 'USD'}",0,,,1287141945,"{'amount': 233.0, 'currency': 'USD'}",4,18,0.0,,369759,100 Level - 115,0,115,2,"[1, 2, 4]",1,78442,100 Level,284.85
"{'amount': 287.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285905858,"{'amount': 235.0, 'currency': 'USD'}",2,18,0.0,"15,16",369745,100 Level - 101,0,101,0,[2],2,78442,100 Level,287.25
